Timestamp,Drone ID,Other Object,Distance,Correction X,Correction Y,Message
2024-10-13 23:56:35,3,human,49.5,0.32,0.38,Drone 4 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,2,human,48.79,-0.31,1.17,Drone 3 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,3,human,49.54,0.31,0.34,Drone 4 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,3,human,50.0,0.0,0.0,Drone 4 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,3,human,50.0,0.0,0.0,Drone 4 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,3,human,50.0,0.0,0.0,Drone 4 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,3,human,50.0,0.0,0.0,Drone 4 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,2,human,48.8,-0.29,1.16,Drone 3 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,3,human,50.0,0.0,0.0,Drone 4 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,2,human,50.0,-0.0,0.0,Drone 3 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,3,human,49.58,0.29,0.31,Drone 4 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,2,human,50.0,-0.0,0.0,Drone 3 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,3,human,50.0,0.0,0.0,Drone 4 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,2,human,50.0,-0.0,0.0,Drone 3 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,3,human,50.0,0.0,0.0,Drone 4 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,2,human,50.0,-0.0,0.0,Drone 3 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,3,human,50.0,0.0,0.0,Drone 4 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,2,human,50.0,-0.0,0.0,Drone 3 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,3,human,50.0,0.0,0.0,Drone 4 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,2,human,48.81,-0.26,1.16,Drone 3 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,3,human,50.0,0.0,0.0,Drone 4 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,2,human,50.0,-0.0,0.0,Drone 3 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,3,human,49.61,0.27,0.27,Drone 4 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,2,human,50.0,-0.0,0.0,Drone 3 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,3,human,50.0,0.0,0.0,Drone 4 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,2,human,50.0,-0.0,0.0,Drone 3 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,3,human,50.0,0.0,0.0,Drone 4 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,2,human,50.0,-0.0,0.0,Drone 3 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,3,human,50.0,0.0,0.0,Drone 4 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,2,human,50.0,-0.0,0.0,Drone 3 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,3,human,50.0,0.0,0.0,Drone 4 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,2,human,48.83,-0.24,1.15,Drone 3 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,3,human,50.0,0.0,0.0,Drone 4 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,2,human,50.0,-0.0,0.0,Drone 3 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,3,human,49.65,0.25,0.24,Drone 4 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,2,human,50.0,-0.0,0.0,Drone 3 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,2,human,50.0,-0.0,0.0,Drone 3 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,2,human,50.0,-0.0,0.0,Drone 3 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,2,human,50.0,-0.0,0.0,Drone 3 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,2,human,48.84,-0.21,1.14,Drone 3 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,3,human,49.69,0.23,0.2,Drone 4 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,2,human,48.85,-0.19,1.13,Drone 3 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,2,human,50.0,-0.0,0.0,Drone 3 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,3,human,49.73,0.2,0.17,Drone 4 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,2,human,50.0,-0.0,0.0,Drone 3 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,3,human,50.0,0.0,0.0,Drone 4 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,2,human,50.0,-0.0,0.0,Drone 3 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,3,human,50.0,0.0,0.0,Drone 4 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,2,human,50.0,-0.0,0.0,Drone 3 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,3,human,50.0,0.0,0.0,Drone 4 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,2,human,50.0,-0.0,0.0,Drone 3 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,3,human,50.0,0.0,0.0,Drone 4 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,2,human,48.87,-0.16,1.12,Drone 3 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,3,human,50.0,0.0,0.0,Drone 4 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,2,human,50.0,-0.0,0.0,Drone 3 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,3,human,49.78,0.18,0.14,Drone 4 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,2,human,50.0,-0.0,0.0,Drone 3 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,3,human,50.0,0.0,0.0,Drone 4 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,2,human,50.0,-0.0,0.0,Drone 3 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,3,human,50.0,0.0,0.0,Drone 4 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,2,human,50.0,-0.0,0.0,Drone 3 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,3,human,50.0,0.0,0.0,Drone 4 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,2,human,50.0,-0.0,0.0,Drone 3 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,3,human,50.0,0.0,0.0,Drone 4 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,2,human,48.89,-0.14,1.11,Drone 3 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,3,human,50.0,0.0,0.0,Drone 4 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,2,human,50.0,-0.0,0.0,Drone 3 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,3,human,49.82,0.15,0.11,Drone 4 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,2,human,50.0,-0.0,0.0,Drone 3 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,3,human,50.0,0.0,0.0,Drone 4 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,2,human,50.0,-0.0,0.0,Drone 3 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,3,human,50.0,0.0,0.0,Drone 4 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,2,human,50.0,-0.0,0.0,Drone 3 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,3,human,50.0,0.0,0.0,Drone 4 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,2,human,50.0,-0.0,0.0,Drone 3 avoided obstacle: human. Adjusted its path.
2024-10-13 23:56:35,3,human,50.0,0.0,0.0,Drone 4 avoided obstacle: human. Adjusted its path.
